country,Year,GDP,Population,Suicide
Afghanistan,1990,-0.885,0.105,703
Afghanistan,1991,7.34,0.106,754
Afghanistan,1992,1.22,0.106,820
Afghanistan,1993,-5.14,0.107,894
Afghanistan,1994,-2.57,0.107,977
Afghanistan,1995,28.3,0.107,1050
Afghanistan,1996,7.31,0.106,1100
Afghanistan,1997,5.88,0.106,1130
Afghanistan,1998,5.01,0.105,1170
Afghanistan,1999,4.95,0.105,1200
Afghanistan,2000,1.74,0.106,1250
Afghanistan,2001,-7.15,0.107,1300
Afghanistan,2002,27.1,0.107,1360
Afghanistan,2003,12.6,0.108,1450
Afghanistan,2004,6.55,0.108,1530
Afghanistan,2005,12.4,0.108,1600
Afghanistan,2006,4.56,0.107,1650
Afghanistan,2007,13.6,0.105,1680
Afghanistan,2008,2.5,0.105,1710
Afghanistan,2009,20.2,0.105,1750
Afghanistan,2010,8.04,0.106,1760
Afghanistan,2011,6.98,0.109,1810
Afghanistan,2012,14.8,0.112,1870
Afghanistan,2013,4.47,0.114,1990
Albania,1990,1.94,0.0974,127
Albania,1991,-28.9,0.0955,130
Albania,1992,-8.79,0.0943,131
Albania,1993,7.38,0.094,135
Albania,1994,5.93,0.0944,136
Albania,1995,11.2,0.0955,142
Albania,1996,7.66,0.0938,150
Albania,1997,-11.1,0.0925,162
Albania,1998,11.8,0.0917,170
Albania,1999,9.36,0.0917,175
Albania,2000,6.76,0.0926,175
Albania,2001,6.89,0.0941,184
Albania,2002,3.28,0.0963,191
Albania,2003,6.03,0.0988,196
Albania,2004,5.97,0.101,201
Albania,2005,5.53,0.103,204
Albania,2006,5.77,0.102,204
Albania,2007,5.85,0.1,204
Albania,2008,7.24,0.0986,205
Albania,2009,3.28,0.0974,201
Albania,2010,3.36,0.0965,195
Albania,2011,2.86,0.0955,191
Albania,2012,2.64,0.0935,188
Albania,2013,2.06,0.0905,186
Algeria,1990,-1.45,0.112,806
Algeria,1991,-1.08,0.112,822
Algeria,1992,1.65,0.113,843
Algeria,1993,-2.23,0.115,866
Algeria,1994,-0.999,0.116,888
Algeria,1995,3.69,0.117,912
Algeria,1996,3.72,0.118,941
Algeria,1997,1.02,0.119,983
Algeria,1998,5.03,0.12,1020
Algeria,1999,3.14,0.121,1060
Algeria,2000,2.45,0.121,1080
Algeria,2001,2.62,0.121,1110
Algeria,2002,4.07,0.121,1140
Algeria,2003,7.04,0.12,1170
Algeria,2004,5.41,0.119,1190
Algeria,2005,5.38,0.117,1210
Algeria,2006,1.72,0.115,1220
Algeria,2007,3.42,0.112,1240
Algeria,2008,2.02,0.109,1250
Algeria,2009,1.7,0.105,1270
Algeria,2010,3.57,0.101,1290
Algeria,2011,2.31,0.096,1310
Algeria,2012,2.58,0.0906,1340
Algeria,2013,2.99,0.0853,1370
Angola,1990,-0.445,0.107,645
Angola,1991,0.991,0.107,653
Angola,1992,-5.84,0.107,667
Angola,1993,-24,0.106,700
Angola,1994,1.34,0.106,735
Angola,1995,15,0.106,756
Angola,1996,20,0.106,738
Angola,1997,5.5,0.106,738
Angola,1998,0,0.107,816
Angola,1999,3.24,0.108,809
Angola,2000,3.01,0.108,819
Angola,2001,3.14,0.109,842
Angola,2002,14.5,0.109,863
Angola,2003,3.3,0.109,916
Angola,2004,11.2,0.109,957
Angola,2005,20.5,0.109,980
Angola,2006,18.6,0.109,1010
Angola,2007,23.2,0.108,1040
Angola,2008,13.8,0.108,1060
Angola,2009,2.39,0.107,1080
Angola,2010,3.45,0.107,1100
Angola,2011,3.87,0.106,1120
Angola,2012,4.96,0.105,1140
Angola,2013,3.79,0.105,1170
Antigua and Barbuda,1990,3.25,0.0896,1.27
Antigua and Barbuda,1991,2.44,0.0897,1.3
Antigua and Barbuda,1992,1.03,0.0899,1.32
Antigua and Barbuda,1993,5.4,0.0894,1.34
Antigua and Barbuda,1994,6.29,0.088,1.36
Antigua and Barbuda,1995,-4.19,0.0863,1.41
Antigua and Barbuda,1996,6.63,0.0858,1.44
